time4,time11,solution?,n,correct winner
0.0894627571105957,0.2750077247619629,1.0,3700,queen11
0.08729829788208007,0.3157602190971375,1.0,3701,queen11
0.085902738571167,0.31421035130818686,1.0,3702,queen11
0.09672268629074096,0.31467443108558657,1.0,3703,queen11
0.09435492515563965,0.3213911724090576,1.0,3704,queen11
0.10308021704355876,0.32418630917867025,1.0,3705,queen11
0.09930464540209089,0.3210387740816389,1.0,3706,queen11
0.0980216234922409,0.32282284200191497,0.9,3707,queen11
0.09553904003567165,0.31712302896711564,1.0,3708,queen11
0.09383255004882812,0.3132283091545105,0.9,3709,queen11
0.0919591101733121,0.3106918508356268,1.0,3710,queen11
0.09198577602704366,0.3092245598634084,1.0,3711,queen11
0.09087596489832951,0.30813393959632285,1.0,3712,queen11
0.09016148703438895,0.3092872330120632,1.0,3713,queen11
0.09014920870463053,0.3115799681345622,1.0,3714,queen11
0.08925577402114868,0.3090785890817642,1.0,3715,queen11
0.09038574415094712,0.31008268244126264,1.0,3716,queen11
0.08984151151445177,0.31178555885950726,1.0,3717,queen11
0.09271453932711952,0.31553177708073665,1.0,3718,queen11
0.0918579339981079,0.3125798976421356,1.0,3719,queen11
0.09020552748725527,0.30949674674442834,1.0,3720,queen11
0.0883709658275951,0.30548650351437656,1.0,3721,queen11
0.08693670811860457,0.302562489716903,1.0,3722,queen11
0.08527133862177531,0.29918931821982064,1.0,3723,queen11
0.08418963432312011,0.29489813327789305,1.0,3724,queen11
0.08321798673042884,0.2910928304378803,1.0,3725,queen11
0.0819700108634101,0.2884248000604135,1.0,3726,queen11
0.08203221474375044,0.2854183869702475,1.0,3727,queen11
0.0810033000748733,0.2827355952098452,1.0,3728,queen11
0.08431832234064739,0.28378479878107704,1.0,3729,queen11
0.08426473448353429,0.281870404366524,1.0,3730,queen11
0.08449186757206917,0.27970257923007014,1.0,3731,queen11
0.08478100661075476,0.2777613459211407,1.0,3732,queen11
0.08446718314114739,0.27605123169281903,1.0,3733,queen11
0.08380140849522182,0.27447256973811557,1.0,3734,queen11
0.08308918277422588,0.2733221921655867,1.0,3735,queen11
0.08276771081460489,0.2716944462544209,1.0,3736,queen11
0.08209936242354543,0.27001842009393795,0.7,3737,queen11
0.08206253601954533,0.2690422363770314,1.0,3738,queen11
0.0827348130941391,0.2689987576007843,1.0,3739,queen11
0.0826954655530976,0.26834971265095037,1.0,3740,queen11
