time4sub,time11sub,solution?,n,time4,time11,correct winner,SAT?
0.06949208736419678,0.7261573123931885,0.0,72,4216.198066234589,401.9456820487976,queen11,SAT
0.10456186771392822,0.7000688934326171,0.01,71,2.09737491607666,6.672213792800903,queen4,SAT
0.08336726824442546,0.5773369137446086,0.006666666666666667,60,0.22617053985595703,9.66667103767395,queen4,SAT
0.12127864360809326,0.6874405527114869,0.255,80,1.2615478038787842,5.013962507247925,queen4,SAT
0.10822686290740967,0.660190375328064,0.204,69,3.414700746536255,8.641384840011597,queen4,SAT
0.13387687921524047,0.6497963913281759,0.33666666666666667,67,0.26967549324035645,2.7070765495300293,queen4,SAT
0.21283635139465332,0.7874814203807285,0.43142857142857144,78,0.9251759052276611,8.15413498878479,queen4,SAT
0.21041467666625976,0.8050567197799683,0.3775,77,3.08613657951355,8.251853704452515,queen4,SAT
0.19223738935258652,0.7674770058525933,0.33555555555555555,66,377.41757011413574,357.21337032318115,queen11,SAT
0.1803759331703186,0.7393494935035706,0.302,67,26.66189932823181,11.449711084365845,queen11,SAT
0.18106450601057572,0.7172927548668602,0.32181818181818184,62,0.40745973587036133,2.0601863861083984,queen4,SAT
0.169704217116038,0.690107202132543,0.295,63,2.750979423522949,7.271697759628296,queen4,SAT
0.16128797641167275,0.6906272730460534,0.2723076923076923,74,3.906787395477295,4.852553367614746,queen4,SAT
0.19088863372802733,0.7093300969260079,0.32142857142857145,68,0.2855229377746582,3.8964271545410156,queen4,SAT
0.18152011775970459,0.6984292888641357,0.3,70,63.54645800590515,19.12071681022644,queen11,SAT
0.17948931753635405,0.6850605574250221,0.28875,63,0.3399848937988281,2.100890636444092,queen4,SAT
0.17251307010650635,0.6956488940295051,0.27176470588235296,79,39.86733794212341,109.53155159950256,queen4,SAT
0.18533060524198744,0.7189476129743788,0.31222222222222223,76,0.5399661064147949,4.251270532608032,queen4,SAT
0.17866174898649517,0.7235332682258204,0.29578947368421055,78,34.158910036087036,44.07069706916809,queen4,SAT
0.1723482928276062,0.7169222657680512,0.281,72,9.216678380966187,48.183475971221924,queen4,SAT
0.19608087948390415,0.7383886325927008,0.31238095238095237,65,1.0301365852355957,2.8886947631835938,queen4,SAT
