0.95,0.9375,0.8625,0.875,80,queen4
0.9375,0.9375,0.86265625,0.87515625,80,queen11
0.9625,0.975,0.8628125000000001,0.8753125,80,queen4
0.9625,0.95,0.86296875,0.87546875,80,queen4
0.9625,0.925,0.8631249999999999,0.875625,80,queen4
0.9625,0.925,0.86328125,0.87578125,80,queen4
0.975,0.925,0.8634375000000001,0.8759375,80,queen11
0.95,0.9375,0.86359375,0.87609375,80,queen4
0.95,0.95,0.8637499999999999,0.87625,80,queen11
0.9375,0.9375,0.86390625,0.87640625,80,queen11
0.9375,0.925,0.8640625,0.8765625,80,queen4
0.9375,0.95,0.86421875,0.87671875,80,queen11
0.95,0.95,0.8643750000000001,0.876875,80,queen4
0.9375,0.9375,0.86453125,0.87703125,80,queen11
0.95,0.9375,0.8646874999999999,0.8771875,80,queen4
0.925,0.9375,0.86484375,0.87734375,80,queen4
0.95,0.95,0.865,0.8775,80,queen11
0.9625,0.95,0.8651562500000001,0.87765625,80,queen4
0.95,0.9625,0.8653124999999999,0.8778125,80,queen4
0.9375,0.925,0.86546875,0.87796875,80,queen11
0.95,0.95,0.865625,0.878125,80,queen4
0.9375,0.925,0.8657812500000001,0.87828125,80,queen4
0.9625,0.9625,0.8659375,0.8784375,80,queen4
0.9375,0.95,0.8660937499999999,0.87859375,80,queen4
0.9625,0.9625,0.86625,0.87875,80,queen11
0.95,0.95,0.86640625,0.87890625,80,queen4
0.925,0.9375,0.8665625,0.8790625,80,queen4
0.9375,0.925,0.8667187500000001,0.87921875,80,queen11
0.95,0.95,0.866875,0.879375,80,queen4
0.95,0.9375,0.8670312499999999,0.87953125,80,queen11
0.9625,0.95,0.8671875,0.8796875,80,queen4
0.9375,0.95,0.8673437500000001,0.87984375,80,queen11
0.9875,0.95,0.8675,0.88,80,queen4
0.9375,0.95,0.8676562499999999,0.88015625,80,queen4
0.95,0.9375,0.8678125,0.8803125,80,queen11
0.925,0.95,0.86796875,0.88046875,80,queen11
0.9375,0.95,0.868125,0.880625,80,queen11
0.9625,0.9375,0.8682812500000001,0.88078125,80,queen4
0.95,0.95,0.8684375,0.8809375,80,queen11
0.95,0.9375,0.8685937499999999,0.88109375,80,queen4
0.925,0.95,0.86875,0.88125,80,queen11
0.975,0.95,0.86890625,0.88140625,80,queen11
0.95,0.9625,0.8690625000000001,0.8815625,80,queen11
0.9375,0.95,0.8692187499999999,0.88171875,80,queen11
0.95,0.925,0.869375,0.881875,80,queen11
0.9375,0.9625,0.86953125,0.88203125,80,queen11
0.95,0.9375,0.8696875000000001,0.8821875,80,queen11
0.95,0.9625,0.86984375,0.88234375,80,queen11
0.9625,0.9375,0.8699999999999999,0.8825,80,queen11
0.95,0.9375,0.87015625,0.88265625,80,queen11
0.95,0.95,0.8703125,0.8828125,80,queen4
0.9375,0.9375,0.87046875,0.88296875,80,queen4
0.9625,0.9375,0.8706250000000001,0.883125,80,queen11
0.9375,0.95,0.87078125,0.88328125,80,queen11
0.9375,0.9625,0.8709374999999999,0.8834375,80,queen11
0.925,0.95,0.87109375,0.88359375,80,queen4
0.9625,0.95,0.8712500000000001,0.88375,80,queen4
0.9375,0.95,0.87140625,0.88390625,80,queen11
0.9375,0.9375,0.8715624999999999,0.8840625,80,queen11
0.95,0.9375,0.87171875,0.88421875,80,queen11
0.95,0.9625,0.871875,0.884375,80,queen4
0.95,0.9375,0.87203125,0.88453125,80,queen11
0.95,0.95,0.8721875000000001,0.8846875,80,queen11
0.975,0.9625,0.87234375,0.88484375,80,queen4
0.9625,0.95,0.8724999999999999,0.885,80,queen4
0.9625,0.9375,0.87265625,0.88515625,80,queen11
0.95,0.95,0.8728125,0.8853125,80,queen4
0.95,0.9625,0.8729687500000001,0.88546875,80,queen4
0.95,0.95,0.8731249999999999,0.885625,80,queen11
0.9625,0.9625,0.87328125,0.88578125,80,queen11
0.9375,0.9375,0.8734375,0.8859375,80,queen11
0.95,0.95,0.8735937500000001,0.88609375,80,queen4
0.9625,0.95,0.87375,0.88625,80,queen4
0.95,0.9625,0.8739062499999999,0.88640625,80,queen11
0.9625,0.95,0.8740625,0.8865625,80,queen4
0.95,0.9375,0.87421875,0.88671875,80,queen11
0.95,0.95,0.874375,0.886875,80,queen4
0.95,0.95,0.8745312500000001,0.88703125,80,queen11
0.9625,0.95,0.8746875,0.8871875,80,queen4
0.975,0.95,0.8748437499999999,0.88734375,80,queen11
0.95,0.9375,0.875,0.8875,80,queen11
0.95,0.95,0.8751562500000001,0.88765625,80,queen11
0.95,0.95,0.8753125,0.8878125,80,queen4
0.9375,0.95,0.8754687499999999,0.88796875,80,queen4
0.975,0.9625,0.875625,0.888125,80,queen4
0.9375,0.9375,0.87578125,0.88828125,80,queen11
0.975,0.9375,0.8759375,0.8884375,80,queen4
0.95,0.9375,0.8760937500000001,0.88859375,80,queen4
0.9375,0.95,0.87625,0.88875,80,queen4
0.95,0.95,0.8764062499999999,0.88890625,80,queen4
0.9625,0.95,0.8765625,0.8890625,80,queen4
0.95,0.95,0.87671875,0.88921875,80,queen4
0.95,0.975,0.8768750000000001,0.889375,80,queen11
0.975,0.95,0.8770312499999999,0.88953125,80,queen4
0.975,0.95,0.8771875,0.8896875,80,queen4
0.975,0.95,0.87734375,0.88984375,80,queen11
0.95,0.9625,0.8775000000000001,0.89,80,queen11
0.9625,0.9625,0.87765625,0.89015625,80,queen4
0.95,0.9375,0.8778124999999999,0.8903125,80,queen11
0.9375,0.95,0.87796875,0.89046875,80,queen11
